Time/s	Absorbance (460 nm)
11182	0.00609
11193	0.00642
11204	0.00668
11214	0.00677
11224	0.00658
11234	0.006
11244	0.00509
11255	0.00417
11266	0.00366
11276	0.00355
11287	0.00371
11297	0.00403
11309	0.00448
11319	0.00489
11330	0.00531
11340	0.0057
11351	0.00608
11361	0.00638
11372	0.00661
11382	0.00669
11394	0.00644
11404	0.0058
11414	0.0049
11425	0.00407
11435	0.00366
11445	0.00358
11456	0.00376
11467	0.00411
11478	0.00452
11488	0.00494
11498	0.00535
11508	0.00573
11519	0.0061
11530	0.00644
11540	0.0067
11551	0.00682
11562	0.00663
11573	0.00596
11584	0.00496
11594	0.00408
11604	0.00361
11615	0.00353
11625	0.00371
11636	0.00405
11648	0.00451
11659	0.00494
11669	0.00535
11679	0.00573
11690	0.00609
11700	0.00638
11711	0.00658
11722	0.00658
11733	0.00621
11744	0.00543
11755	0.00452
11765	0.00387
11776	0.00363
11786	0.00367
11797	0.00392
11808	0.00432
11820	0.00476
11831	0.0052
11842	0.00564
11852	0.00601
11863	0.00638
11873	0.00668
11884	0.00691
11894	0.00694
11905	0.00661
11915	0.00577
11926	0.00468
11936	0.00385
11947	0.00349
11957	0.0035
11968	0.00375
11979	0.00416
11991	0.00464
12002	0.00509
12013	0.00552
12024	0.00587
12035	0.00617
12046	0.00638
12057	0.00638
12068	0.00605
12079	0.00537
12089	0.00458
12100	0.00399
12110	0.00374
12120	0.00375
12131	0.00395
12142	0.00432
12153	0.00472
12165	0.00516
12175	0.00556
12186	0.00595
12196	0.00631
12206	0.00665
12216	0.00697
12226	0.00718
12237	0.0072
12247	0.00681
12258	0.00578
12268	0.00458
12279	0.00369
12289	0.00336
12299	0.00342
12310	0.00372
12322	0.00416
12334	0.00465
12345	0.00511
12355	0.00546
12366	0.00578
12376	0.006
12387	0.00608
12398	0.00594
12410	0.00549
12420	0.00487
12431	0.00429
12441	0.00397
12452	0.00389
12462	0.00399
12473	0.00424
12484	0.0046
12496	0.005
12506	0.00537
12517	0.00575
12528	0.0061
12538	0.00643
12549	0.00669
12560	0.00681
12571	0.00666
12581	0.0061
12591	0.00519
12601	0.00423
12612	0.00367
12623	0.00353
12633	0.00367
12643	0.00396
12654	0.00437
12666	0.00486
12677	0.00529
12687	0.00569
12698	0.00607
12709	0.00641
12719	0.00667
12730	0.00676
12740	0.00658
12750	0.00599
12760	0.00508
12771	0.00417
12782	0.00366
12793	0.00355
12803	0.00372
12814	0.00404
12826	0.0045
12836	0.00492
12846	0.00533
12857	0.00571
12868	0.00609
12878	0.00639
12888	0.00662
12899	0.00669
12910	0.00643
12921	0.00569
12932	0.00472
12942	0.00397
12952	0.00362
12963	0.0036
12973	0.0038
12983	0.00412
12994	0.00454
13005	0.00497
13017	0.00544
13027	0.00583
13038	0.00621
13048	0.00652
13059	0.00675
13069	0.00682
13079	0.00658
13090	0.00588
13100	0.00488
13111	0.00403
13121	0.00359
13132	0.00353
13142	0.00373
13153	0.00409
13164	0.0045
13175	0.00493
13185	0.00534
13195	0.00572
13206	0.00609
13216	0.00638
13227	0.00658
13238	0.00658
13249	0.00619
13260	0.00542
13271	0.00451
13281	0.00387
13292	0.00363
13302	0.00368
13313	0.00393
13323	0.00427
13334	0.00468
13345	0.00513
13355	0.00554
13366	0.00594
13376	0.0063
13387	0.00662
13397	0.00687
13407	0.00697
13418	0.00676
13428	0.00608
13439	0.00497
13450	0.00401
13460	0.00353
13470	0.00347
13481	0.00367
13492	0.00402
13503	0.00448
