Time/s	Absorbance (460 nm)
13557	0.00858
13567	0.00895
13577	0.00915
13588	0.00896
13598	0.00804
13608	0.00657
13618	0.00532
13629	0.00473
13639	0.00476
13650	0.00513
13661	0.0057
13672	0.00632
13682	0.00689
13693	0.00745
13704	0.00788
13714	0.00817
13724	0.00823
13736	0.00787
13747	0.00701
13757	0.00602
13768	0.00535
13778	0.00512
13788	0.00524
13798	0.00558
13809	0.00608
13820	0.00663
13831	0.00722
13842	0.00777
13852	0.00824
13862	0.00867
13872	0.00901
13882	0.00915
13892	0.00884
13902	0.00783
13913	0.00625
13924	0.0051
13934	0.00469
13945	0.00482
13955	0.00523
13965	0.00578
13977	0.00644
13987	0.00699
13997	0.0075
14008	0.00791
14018	0.00819
14028	0.00822
14040	0.00779
14050	0.00692
14061	0.00596
14071	0.00532
14081	0.00511
14092	0.00526
14102	0.00563
14114	0.00618
14125	0.00674
14135	0.00729
14146	0.00781
14156	0.00831
14167	0.00876
14178	0.00908
14189	0.00911
14199	0.00851
14210	0.00712
14221	0.00567
14231	0.00485
14241	0.00469
14251	0.00494
14261	0.00541
14271	0.00598
14282	0.00655
14293	0.00717
14304	0.00766
14315	0.00805
14325	0.00824
14335	0.00812
14347	0.0075
14357	0.00653
14368	0.00562
14378	0.00518
14389	0.00515
14399	0.0054
14410	0.00584
14421	0.00642
14432	0.00697
14442	0.0075
14452	0.008
14462	0.00846
14473	0.00886
14484	0.00913
14494	0.00903
14505	0.00822
14515	0.00677
14526	0.00544
14536	0.00478
14546	0.00471
14557	0.00505
14568	0.00564
14578	0.00622
14589	0.00681
14599	0.00732
14610	0.00781
14621	0.00813
14632	0.00824
14643	0.00793
14653	0.00719
14664	0.00616
14675	0.00542
14685	0.00513
14696	0.00522
14707	0.0056
14718	0.00612
14729	0.00668
14740	0.00725
14751	0.00779
14762	0.0083
14772	0.00874
14783	0.00907
14794	0.00912
14805	0.00856
14815	0.0073
14825	0.0058
14835	0.0049
14846	0.00468
14856	0.00492
14868	0.00545
14878	0.00605
14889	0.00664
14900	0.00722
14910	0.00769
14921	0.00807
14932	0.00824
14942	0.00809
14953	0.00744
14964	0.00647
14975	0.00559
14985	0.00517
14995	0.00515
15005	0.00543
15016	0.00589
15029	0.0065
15039	0.00704
15050	0.0076
15061	0.00812
15071	0.00858
15081	0.00895
15091	0.00915
15102	0.00896
15112	0.00805
15122	0.00658
15132	0.00533
15142	0.00474
15153	0.00474
15163	0.00508
15173	0.0056
15186	0.0063
15196	0.00688
15207	0.00744
15218	0.00788
15228	0.00817
15240	0.00822
15251	0.00778
15262	0.00691
15272	0.00595
15283	0.00531
15293	0.00511
15303	0.00526
15314	0.00564
15325	0.00619
15336	0.00676
15347	0.0073
15357	0.00782
15368	0.00832
15379	0.00876
15389	0.00908
15400	0.00911
15411	0.0085
15422	0.0071
15432	0.00566
15442	0.00485
15452	0.00469
15463	0.00494
15473	0.00542
15483	0.00599
15493	0.00657
15505	0.00718
15516	0.00767
15526	0.00805
15537	0.00824
15547	0.00812
15558	0.00749
15569	0.00651
15580	0.00561
15590	0.00518
15600	0.00515
15611	0.00541
15621	0.00585
15633	0.00644
15643	0.00699
15654	0.00751
15664	0.00801
15674	0.00846
15684	0.00886
15695	0.00913
15706	0.00903
15717	0.00821
15727	0.00676
15737	0.00544
15747	0.00477
15757	0.00471
15768	0.00506
15780	0.00565
15790	0.00623
15801	0.00682
15811	0.00733
15822	0.00781
15832	0.00814
15844	0.00824
15855	0.00792
15865	0.00718
15876	0.00615
15886	0.00541
15896	0.00513
15907	0.00522
15919	0.00561
15930	0.00614
15941	0.0067
15952	0.00726
15962	0.0078
15973	0.0083
15984	0.00875
15995	0.00907
16005	0.00912
16016	0.00855
16026	0.00728
16037	0.00579
16047	0.0049
16057	0.00468
16068	0.00493
16078	0.00539
16090	0.00606
16101	0.00665
16112	0.00723
16122	0.0077
16133	0.00807
16143	0.00824
16154	0.00809
16165	0.00743
16175	0.00646
16186	0.00558
16196	0.00517
16207	0.00516
16217	0.00543
16228	0.0059
16240	0.00652
16250	0.00705
16261	0.00761
16272	0.00813
16283	0.00858
